,active,cc.y,color,data.properties.date_end,data.properties.date_start,data.properties.name,data.properties.simil,data.type,hover,id,label,read_cam0:size,renderer1:size,selected,size,source,target,type
2,False,,#d48a60,,,Shareholder,,is officer of,,562506,is officer of,2,11.4599971211,,1,475992,144669,
3,False,,#8a6960,,,,,registered,False,792288,registered,2,11.4599971211,,1,583355,144669,
4,False,,#8a6960,,,,,registered,False,793752,registered,2,11.4599971211,,1,583355,163792,
5,False,,#d48a60,,,Shareholder,,is officer of,,559355,is officer of,2,11.4599971211,,1,403398,163792,
0,False,,#baaba3,,,,,registered address,False,272759,registered address,2,7.21134864436,,1,398871,552278,
1,False,,#baaba3,,,,,registered address,False,334113,registered address,2,7.21134864436,,1,659363,552278,
2,False,,#8a6960,,,,,registered,False,810424,registered,2,7.21134864436,,1,593661,222385,
3,False,,#d48a60,,,,1.0,has similar name and address as,False,881291,has similar name and address as,2,7.21134864436,,1,398871,659363,
4,False,,#d48a60,,,Beneficiary,,is officer of,False,59129,Beneficiary,2,7.21134864436,,1,659363,222385,
5,False,,#d48a60,,,Director and shareholder,,is officer of,False,68547,Director and shareholder,2,7.21134864436,,1,398871,222385,curvedArrow
6,False,,#baaba3,,,,,registered address,False,240157,registered address,2,7.21134864436,,1,398870,542578,
7,False,,#d48a60,,,,1.0,has similar name and address as,False,344850,has similar name and address as,2,7.21134864436,,1,320219,393432,
8,False,,#d48a60,,,,1.0,has similar name and address as,False,356147,has similar name and address as,2,7.21134864436,,1,398870,320219,
9,False,,#d48a60,,,,1.0,has similar name and address as,False,360588,has similar name and address as,2,7.21134864436,,1,398870,393432,
10,False,,#d48a60,,,Shareholder,,is officer of,False,579349,Shareholder,2,7.21134864436,,1,398870,222385,
11,False,,#d48a60,,,Shareholder,,is officer of,False,579350,Shareholder,2,7.21134864436,,1,398869,222385,
12,False,2.0,#d48a60,,,Shareholder,,is officer of,False,579351,Shareholder,2,7.21134864436,,1,398871,222385,curvedArrow
13,False,,#baaba3,,,,,registered address,False,862715,registered address,2,7.21134864436,,1,398869,542578,
14,False,,#baaba3,,,,,registered address,False,268758,registered address,2,7.21134864436,,1,320219,542567,
15,False,,#d48a60,,,Shareholder,,is officer of,False,389076,Shareholder,2,7.21134864436,,1,320219,227328,
16,False,,#d48a60,,,Shareholder,,is officer of,False,514862,Shareholder,2,7.21134864436,,1,320219,32340,
17,False,,#8a6960,,,,,registered,False,746812,registered,2,7.21134864436,,1,593661,227328,
18,,,#baaba3,,,,,registered address,False,283477,registered address,2,7.21134864436,,1,393432,542569,
19,,,#d48a60,,,Shareholder,,is officer of,,453454,Shareholder,2,7.21134864436,,1,393432,246682,
20,,,#8a6960,,,,,registered,,748877,registered,2,7.21134864436,,1,593661,246682,
0,False,,#8a6960,,,,,registered,False,725320,registered,2,4.94798860687,,1,583363,118187,
1,False,,#8a6960,,,,,registered,False,737165,registered,2,4.94798860687,,1,583363,186424,
2,False,,#8a6960,,,,,registered,False,740032,registered,2,4.94798860687,,1,583363,114292,
3,False,,#8a6960,,,,,registered,False,745631,registered,2,4.94798860687,,1,583363,195448,
4,False,,#8a6960,,,,,registered,False,766917,registered,2,4.94798860687,,1,583363,211515,
5,False,,#8a6960,,,,,registered,False,770141,registered,2,4.94798860687,,1,583363,225354,
6,False,,#baaba3,,,,,registered address,False,234808,registered address,2,4.94798860687,,1,375778,523735,
7,False,,#baaba3,,,,,registered address,False,246629,registered address,2,4.94798860687,,1,375777,523735,
8,False,,#baaba3,,,,,registered address,False,286853,registered address,2,4.94798860687,,1,375783,547603,
9,False,,#baaba3,,,,,registered address,False,307286,registered address,2,4.94798860687,,1,375781,523735,
10,False,,#baaba3,,,,,registered address,False,313595,registered address,2,4.94798860687,,1,375780,523735,
11,False,,#d48a60,,,,1.0,has similar name and address as,False,348432,has similar name and address as,2,4.94798860687,,1,375779,393287,
12,False,,#baaba3,,,,,registered address,False,818075,registered address,2,4.94798860687,,1,375779,523735,
13,False,,#baaba3,,,,,registered address,False,834689,registered address,2,4.94798860687,,1,375782,523735,
14,False,,#baaba3,,,,,registered address,False,863290,registered address,2,4.94798860687,,1,375776,514762,
15,False,,#baaba3,,,,,registered address,False,294613,registered address,2,4.94798860687,,1,393288,557142,
16,False,,#baaba3,,,,,registered address,False,820607,registered address,2,4.94798860687,,1,393287,523734,
17,False,,#baaba3,,,,,registered address,False,301817,registered address,2,4.94798860687,,1,388661,535773,
18,False,,#baaba3,,,,,registered address,False,243704,registered address,2,4.94798860687,,1,396540,547594,
19,False,,#d48a60,,15/12/2008,Beneficial Owner,,is officer of,False,69483,Beneficial Owner,2,4.94798860687,,1,667751,225354,
20,False,,#d48a60,,23/06/2010,Beneficial Owner,,is officer of,False,69484,Beneficial Owner,2,4.94798860687,,1,667751,211515,
21,False,,#d48a60,,21/05/2007,Director,,is officer of,False,69485,Director,2,4.94798860687,,1,667751,118187,
22,False,,#d48a60,,27/04/2009,Director,,is officer of,False,69486,Director,2,4.94798860687,,1,667751,186424,
23,False,,#d48a60,07/06/2010,11/01/2010,Director / Shareholder,,is officer of,False,69487,Director / Shareholder,2,4.94798860687,,1,667751,195448,
24,False,,#d48a60,,01/07/2010,Power of Attorney,,is officer of,False,69488,Power of Attorney,2,4.94798860687,,1,667751,114292,
25,False,,#d48a60,,,Shareholder,,is officer of,False,430172,Shareholder,2,4.94798860687,,1,393287,195448,
26,False,,#d48a60,,,Shareholder,,is officer of,False,430173,Shareholder,2,4.94798860687,,1,393288,195448,
27,False,,#d48a60,,,Shareholder,,is officer of,False,429125,Shareholder,2,4.94798860687,,1,396540,114292,
28,False,,#d48a60,,,Shareholder,,is officer of,False,560945,Shareholder,2,4.94798860687,,1,388661,186424,
29,False,,#d48a60,,,Shareholder,,is officer of,False,21551,Shareholder,2,4.94798860687,,1,375777,118187,
30,False,,#d48a60,,,Shareholder,,is officer of,False,21552,Shareholder,2,4.94798860687,,1,375783,118187,
31,False,,#d48a60,,,Shareholder,,is officer of,False,21553,Shareholder,2,4.94798860687,,1,375779,118187,
32,False,,#d48a60,,,Shareholder,,is officer of,False,21554,Shareholder,2,4.94798860687,,1,375776,118187,
33,False,,#d48a60,,,Shareholder,,is officer of,,21555,Shareholder,2,4.94798860687,,1,375780,118187,
34,False,,#d48a60,,,Shareholder,,is officer of,,21556,Shareholder,2,4.94798860687,,1,375778,118187,
35,False,,#d48a60,,,Shareholder,,is officer of,False,21557,Shareholder,2,4.94798860687,,1,375782,118187,
36,False,,#d48a60,,,Shareholder,,is officer of,,21558,Shareholder,2,4.94798860687,,1,375781,118187,
0,False,,#8a6960,,,,,registered,False,667240,registered,2,12.6191468896,,1,581722,106064,
1,False,,#d48a60,,,Shareholder,,is officer of,False,450377,Shareholder,2,12.6191468896,,1,437636,106064,
2,False,,#d48a60,,2005,Authorized signatory,,is officer of,False,69453,Authorized signatory,2,12.6191468896,,1,667732,106064,
0,False,,#8a6960,,,,,registered,False,654247,registered,2,12.6191468896,,1,585403,74711,
1,False,,#8a6960,,,,,registered,False,745271,registered,2,12.6191468896,,1,585403,17197,
2,False,,#baaba3,,,,,registered address,,868162,registered address,2,12.6191468896,,1,378028,559279,
3,False,,#d48a60,,,Power of Attorney,,is officer of,,68539,Power of Attorney,2,12.6191468896,,1,378028,74711,
4,False,,#d48a60,,,Shareholder,,is officer of,,68540,Shareholder,2,12.6191468896,,1,378028,17197,curvedArrow
5,False,2.0,#d48a60,,,Shareholder,,is officer of,,542868,Shareholder,2,12.6191468896,,1,378028,17197,curvedArrow
6,,,#d48a60,,,Shareholder,,is officer of,,847759,Shareholder,2,12.6191468896,,1,447863,74711,
0,False,,#d48a60,,,Power of Attorney,,is officer of,,69471,is officer of,2,12.6191468896,,1,667741,214444,
1,False,,#d48a60,,,Shareholder,,is officer of,,580829,is officer of,2,12.6191468896,,1,394864,214444,
2,False,,#8a6960,,,,,registered,,749041,registered,2,12.6191468896,,1,583897,214444,
3,False,,#baaba3,,,,,registered address,,296167,registered address,2,12.6191468896,,1,394864,531666,
0,False,,#8a6960,,,,,registered,,769765,registered,2,12.6191468896,,1,589434,276906,
1,False,,#d48a60,,,Shareholder,,is officer of,False,34594,Shareholder,2,12.6191468896,,1,649207,276906,
2,False,,#d48a60,,,Shareholder,,is officer of,False,34595,Shareholder,2,12.6191468896,,1,452419,276906,
3,False,,#d48a60,,,Beneficial Owner,,is officer of,False,69533,Beneficial Owner,2,12.6191468896,,1,667762,276906,
0,False,,#8a6960,,,,,registered,False,705024,registered,2,12.6191468896,,1,589972,208754,
1,False,,#8a6960,,,,,registered,False,728587,registered,2,12.6191468896,,1,589972,13637,
2,False,,#baaba3,,,,,registered address,False,260153,registered address,2,12.6191468896,,1,387401,524288,
3,False,,#8a6960,,,,,registered,False,739305,registered,2,12.6191468896,,1,582684,121701,
4,False,,#d48a60,,,Shareholder,,is officer of,False,24387,Shareholder,2,12.6191468896,,1,387401,121701,
5,False,,#d48a60,04/05/2004,01/10/2002,Director,,is officer of,False,69460,Director,2,12.6191468896,,1,667736,208754,
0,False,,#8a6960,,,,,registered,,763271,registered,2,12.6191468896,,1,590963,225723,
1,False,,#8a6960,,,,,registered,,634481,registered,2,12.6191468896,,1,590963,220441,
2,False,,#d48a60,,01/03/2005,Protector,,is officer of,False,69526,Protector,2,12.6191468896,,1,667759,225723,
3,False,,#d48a60,,30/04/2004,"Beneficiary, shareholder and director",,is officer of,False,69529,"Beneficiary, shareholder and director",2,12.6191468896,,1,667760,225723,
4,False,,#d48a60,,30/04/2004,"Beneficiary, shareholder and director",,is officer of,False,69532,"Beneficiary, shareholder and director",2,12.6191468896,,1,667761,225723,
0,False,,#d48a60,,,Owner,,is officer of,False,69550,is officer of,2,9.27839025449,,1,667773,177503,
1,False,,#d48a60,,,Owner,,is officer of,False,69551,is officer of,2,9.27839025449,,1,667773,157549,
2,False,,#d48a60,,,Owner,,is officer of,,69552,is officer of,2,9.27839025449,,1,667773,39850,
3,False,,#d48a60,,,Shareholder,,is officer of,,566360,is officer of,2,9.27839025449,,1,389623,157549,
4,False,,#d48a60,,,Shareholder,,is officer of,False,566361,is officer of,2,9.27839025449,,1,389622,157549,
5,False,,#8a6960,,,,,registered,False,726626,registered,2,9.27839025449,,1,584227,177503,
6,False,,#8a6960,,,,,registered,,742371,registered,2,9.27839025449,,1,584227,157549,
7,False,,#8a6960,,,,,registered,,745702,registered,2,9.27839025449,,1,584227,39850,
8,False,,#d48a60,,,Beneficiay,,is officer of,False,55145,is officer of,2,9.27839025449,,1,653205,39850,
9,False,,#d48a60,,,Shareholder,,is officer of,,533306,is officer of,2,9.27839025449,,1,368961,177503,
10,False,,#d48a60,,,Shareholder,,is officer of,False,570557,is officer of,2,9.27839025449,,1,352198,39850,
11,False,,#d48a60,,,Shareholder,,is officer of,False,570558,is officer of,2,9.27839025449,,1,368961,39850,
12,,,#d48a60,,,,1.0,has similar name and address as,,368111,has similar name and address as,2,9.27839025449,,1,352198,370603,
13,,,#d48a60,,,Shareholder,,is officer of,False,533304,is officer of,2,9.27839025449,,1,370603,177503,
14,,,#d48a60,,,Shareholder,,is officer of,False,533305,is officer of,2,9.27839025449,,1,368797,177503,
15,,,#d48a60,,,Shareholder,,is officer of,,533307,is officer of,2,9.27839025449,,1,372406,177503,
0,False,,#d48a60,,28/11/2006,Power of attorney,,is officer of,,69545,is officer of,2,12.6191468896,,1,667771,263991,
1,False,,#d48a60,,,Shareholder,,is officer of,,536667,is officer of,2,12.6191468896,,1,339983,263991,
2,False,,#d48a60,,,Shareholder,,is officer of,,536668,is officer of,2,12.6191468896,,1,371860,263991,
3,False,,#8a6960,,,,,registered,,808088,registered,2,12.6191468896,,1,587991,263991,
0,False,,#d48a60,,,Shareholder,,is officer of,,21530,Shareholder,2,12.6191468896,,1,471887,93485,
1,False,,#baaba3,,,,,registered address,,296001,registered address,2,12.6191468896,,1,471887,527668,
2,False,,#8a6960,,,,,registered,,778904,registered,2,12.6191468896,,1,583577,93485,
0,False,,#8a6960,,,,,registered,False,725959,registered,2,12.6191468896,,1,592190,285895,
1,False,,#d48a60,,,Beneficiay,,is officer of,False,61601,Beneficiay,2,12.6191468896,,1,659151,285895,
2,False,,#d48a60,,,Beneficial Owner,,is officer of,False,69450,Beneficial Owner,2,12.6191468896,,1,667730,285895,
3,False,,#d48a60,,,Shareholder,,is officer of,False,402200,Shareholder,2,12.6191468896,,1,365987,285895,
4,False,,#baaba3,,,,,registered address,False,336072,registered address,2,12.6191468896,,1,659151,666689,
5,,,#d48a60,,,Shareholder,,is officer of,False,402201,Shareholder,2,12.6191468896,,1,365988,285895,
0,False,,#8a6960,,,,,registered,False,772404,registered,2,12.6191468896,,1,586245,601885,
1,,,#d48a60,,,Beneficiay,,is officer of,,57441,Beneficiay,2,12.6191468896,,1,654634,601885,
2,,,#d48a60,,10/07/2015,Beneficial Owner,,is officer of,False,69541,Beneficial Owner,2,12.6191468896,,1,667767,601885,
0,False,,#8a6960,,,,,registered,False,689942,registered,2,2.46331093727,,1,582818,173963,
1,False,,#8a6960,,,,,registered,False,784206,registered,2,2.46331093727,,1,582818,1314,
2,False,,#8a6960,,,,,registered,False,787070,registered,2,2.46331093727,,1,582818,8131,
3,False,,#8a6960,,,,,registered,False,787327,registered,2,2.46331093727,,1,582818,280700,
4,False,,#baaba3,,,,,registered address,False,241640,registered address,2,2.46331093727,,1,464829,535279,
5,False,,#8a6960,,,,,registered,False,762043,registered,2,2.46331093727,,1,586404,62330,
6,False,,#8a6960,,,,,registered,False,763379,registered,2,2.46331093727,,1,586404,226781,
7,False,,#8a6960,,,,,registered,False,764892,registered,2,2.46331093727,,1,586404,190927,
8,False,,#8a6960,,,,,registered,False,769433,registered,2,2.46331093727,,1,586404,117432,
9,False,,#baaba3,,,,,registered address,False,826955,registered address,2,2.46331093727,,1,464828,535279,
10,False,,#baaba3,,,,,registered address,,327779,registered address,2,2.46331093727,,1,652036,535279,
11,False,,#baaba3,,,,,registered address,,330718,registered address,2,2.46331093727,,1,653905,535279,
12,False,,#d48a60,,,,1.0,has similar name and address as,,841342,has similar name and address as,2,2.46331093727,,1,464829,652036,
13,False,,#d48a60,,,,1.0,has similar name and address as,False,879410,has similar name and address as,2,2.46331093727,,1,464828,653905,
14,False,,#d48a60,,,Beneficiay,,is officer of,False,51088,Beneficiay,2,2.46331093727,,1,652036,226781,
15,False,,#d48a60,,,Beneficiay,,is officer of,False,54813,Beneficiay,2,2.46331093727,,1,653905,226781,
16,False,,#d48a60,,,Director / Beneficial Owner,,is officer of,False,68487,Director / Beneficial Owner,2,2.46331093727,,1,464829,280700,
17,False,,#d48a60,,,Director / Beneficial Owner,,is officer of,False,68488,Director / Beneficial Owner,2,2.46331093727,,1,464829,8131,
18,False,,#d48a60,,,Director / Beneficial Owner,,is officer of,False,68489,Director / Beneficial Owner,2,2.46331093727,,1,464829,173963,
19,False,,#d48a60,,,Director / Beneficial Owner,,is officer of,False,68490,Director / Beneficial Owner,2,2.46331093727,,1,464829,1314,
20,False,,#d48a60,,,Power of Attorney,,is officer of,False,68491,Power of Attorney,2,2.46331093727,,1,464829,117432,
21,False,,#d48a60,,,Power of Attorney,,is officer of,False,68492,Power of Attorney,2,2.46331093727,,1,464829,190927,curvedArrow
22,False,,#d48a60,,,Power of Attorney,,is officer of,False,68493,Power of Attorney,2,2.46331093727,,1,464829,62330,
23,False,,#d48a60,,,Power of Attorney / Shareholder,,is officer of,,68494,Power of Attorney / Shareholder,2,2.46331093727,,1,464829,226781,curvedArrow
24,False,,#d48a60,,,Owner,,is officer of,,68570,Owner,2,2.46331093727,,1,464828,190927,curvedArrow
25,False,,#d48a60,,,Owner,,is officer of,False,68571,Owner,2,2.46331093727,,1,464828,226781,curvedArrow
26,False,,#d48a60,,,Owner,,is officer of,,68573,Owner,2,2.46331093727,,1,417090,190927,
27,False,,#d48a60,,,Owner,,is officer of,,68574,Owner,2,2.46331093727,,1,417090,226781,
28,False,2.0,#d48a60,,,Shareholder,,is officer of,False,450557,Shareholder,2,2.46331093727,,1,464828,190927,curvedArrow
29,False,2.0,#d48a60,,,Shareholder,,is officer of,False,450561,Shareholder,2,2.46331093727,,1,464829,190927,curvedArrow
30,False,2.0,#d48a60,,,Shareholder,,is officer of,False,602503,Shareholder,2,2.46331093727,,1,464828,226781,curvedArrow
31,False,2.0,#d48a60,,,Shareholder,,is officer of,,602504,Shareholder,2,2.46331093727,,1,464829,226781,curvedArrow
32,False,,#d48a60,,,Shareholder,,is officer of,False,602505,Shareholder,2,2.46331093727,,1,465036,226781,
33,False,,#d48a60,,,Shareholder,,is officer of,,602506,Shareholder,2,2.46331093727,,1,465033,226781,
34,False,,#d48a60,,,Shareholder,,is officer of,,602507,Shareholder,2,2.46331093727,,1,465035,226781,
35,False,,#d48a60,,,Shareholder,,is officer of,,602508,Shareholder,2,2.46331093727,,1,465034,226781,
36,False,,#d48a60,,,Shareholder,,is officer of,,40185,Shareholder,2,2.46331093727,,1,462903,117432,
37,False,,#d48a60,,,Shareholder,,is officer of,,40186,Shareholder,2,2.46331093727,,1,462904,117432,
38,False,,#d48a60,,,Shareholder,,is officer of,,40187,Shareholder,2,2.46331093727,,1,462905,117432,
39,False,,#d48a60,,,Shareholder,,is officer of,,40188,Shareholder,2,2.46331093727,,1,462902,117432,
40,False,,#d48a60,,,Shareholder,,is officer of,,404840,Shareholder,2,2.46331093727,,1,463062,62330,
41,False,,#d48a60,,,Shareholder,,is officer of,False,404841,Shareholder,2,2.46331093727,,1,463063,62330,
42,False,,#d48a60,,,Shareholder,,is officer of,False,404842,Shareholder,2,2.46331093727,,1,463064,62330,
43,False,,#d48a60,,,Shareholder,,is officer of,False,404843,Shareholder,2,2.46331093727,,1,463065,62330,
44,,,#d48a60,,,Shareholder,,is officer of,,450558,Shareholder,2,2.46331093727,,1,464824,190927,
45,,,#d48a60,,,Shareholder,,is officer of,False,450559,Shareholder,2,2.46331093727,,1,464827,190927,
46,,,#d48a60,,,Shareholder,,is officer of,,450560,Shareholder,2,2.46331093727,,1,464826,190927,
47,,,#d48a60,,,Shareholder,,is officer of,False,450562,Shareholder,2,2.46331093727,,1,464825,190927,
0,,,#8a6960,,,,,registered,,707300,registered,2,12.3380253523,,1,589835,110439,
1,,,#8a6960,,,,,registered,False,721692,registered,2,12.3380253523,,1,589835,47771,
2,,,#8a6960,,,,,registered,,735060,registered,2,12.3380253523,,1,589835,59391,
3,,,#baaba3,,,,,registered address,,296976,registered address,2,12.3380253523,,1,387354,549590,
4,,,#baaba3,,,,,registered address,,328917,registered address,2,12.3380253523,,1,651789,549590,
5,,,#d48a60,,,Beneficiay,,is officer of,,52602,Beneficiay,2,12.3380253523,,1,651789,59391,
6,,,#d48a60,,,Director,,is officer of,False,68433,Director,2,12.3380253523,,1,387354,47771,
7,,,#d48a60,,,Shareholder,,is officer of,,466351,Shareholder,2,12.3380253523,,1,387354,59391,
8,,,#d48a60,,,Director,,is officer of,,68434,Director,2,12.3380253523,,1,354638,47771,
9,,,#d48a60,,,Shareholder,,is officer of,,843681,Shareholder,2,12.3380253523,,1,457744,110439,
10,,,#d48a60,,,Shareholder,,is officer of,,843682,Shareholder,2,12.3380253523,,1,457745,110439,
11,,,#d48a60,,,Shareholder,,is officer of,False,843683,Shareholder,2,12.3380253523,,1,354638,110439,
0,False,,#baaba3,,,,,registered address,False,316570,registered address,2,11.2273054514,,1,403062,531816,
1,False,,#d48a60,,,Shareholder,,is officer of,False,422840,Shareholder,2,11.2273054514,,1,403062,242337,
2,,,#d48a60,,20/05/2011,Shareholder,,is officer of,False,69524,Shareholder,2,11.2273054514,,1,667756,242337,
3,,,#8a6960,,,,,registered,False,810485,registered,2,11.2273054514,,1,585616,242337,
0,False,,#baaba3,,,,,registered address,False,275073,registered address,2,6.94215775982,,1,387963,538747,
1,False,,#d48a60,,,Shareholder,,is officer of,False,417240,Shareholder,2,6.94215775982,,1,387963,119258,
2,False,,#d48a60,,,Shareholder,,is officer of,False,422677,Shareholder,2,6.94215775982,,1,387963,180086,
3,False,,#8a6960,,,,,registered,False,743257,registered,2,6.94215775982,,1,594021,180086,
4,False,,#8a6960,,,,,registered,False,744321,registered,2,6.94215775982,,1,594021,119258,
0,,,#d48a60,,,Beneficiary,,is officer of,,56712,is officer of,2,3.26966553075,,1,653764,76642,
1,,,#d48a60,,29/11/1999,Sole signatory,,is officer of,,69517,is officer of,2,3.26966553075,,1,667752,76642,
2,,,#d48a60,,,Shareholder,,is officer of,False,505125,is officer of,2,3.26966553075,,1,302740,76642,
3,,,#8a6960,,,,,registered,,671038,registered,2,3.26966553075,,1,587847,76642,
4,,,#d48a60,,,Shareholder,,is officer of,False,15030,is officer of,2,3.26966553075,,1,302740,277479,
5,,,#d48a60,,,Shareholder,,is officer of,False,25671,is officer of,2,3.26966553075,,1,302740,148291,
6,,,#d48a60,,,Shareholder,,is officer of,,33865,is officer of,2,3.26966553075,,1,302740,32747,
7,,,#d48a60,,,Beneficiary,,is officer of,,56706,is officer of,2,3.26966553075,,1,653764,7950,
8,,,#d48a60,,,Beneficiary,,is officer of,False,56707,is officer of,2,3.26966553075,,1,653764,1431,
9,,,#d48a60,,,Beneficiary,,is officer of,,56708,is officer of,2,3.26966553075,,1,653764,30882,
10,,,#d48a60,,,Beneficiary,,is officer of,,56709,is officer of,2,3.26966553075,,1,653764,221515,
11,,,#d48a60,,,Beneficiary,,is officer of,False,56710,is officer of,2,3.26966553075,,1,653764,91001,
